Pokeball,Catch Success
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,True
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,True
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
pokeball,False
