strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,mutation_rate
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
144,96,24,0,0,1.91,80.91247820162704,100,0
